FIGHT_ID,EVENT_ID,FIGHT_NAME,FIGHT_WEIGHTCLASS,FIGHT_METHOD,ROUND,TIME,FIGHT_TIME_FORMAT,FIGHT_REFEREE,FIGHT_DETAILS,MINUTE,SECOND,EVENT_NAME,EVENT_DATE,EVENT_LOCATION,FIGHT_WINNER,LOCAL,VISITOR,GENDER,YearMonth
14092,1522,Aaron Simpson v Ronny Markes,middleweight,decisionsplit,3,300,3 Rnd (5-5-5),Jim Axtel,Decision - Split,5,0,UFC on FUEL TV: Sanchez vs Ellenberger,2012-02-15,"Omaha, Nebraska, USA",Ronny Markes,Aaron Simpson,Ronny Markes,male,2012-02
14095,1522,Ivan Menjivar v John Albert,bantamweight,submission,1,225,3 Rnd (5-5-5),Jim Axtel,Rear Naked Choke,3,45,UFC on FUEL TV: Sanchez vs Ellenberger,2012-02-15,"Omaha, Nebraska, USA",Ivan Menjivar,Ivan Menjivar,John Albert,male,2012-02
14976,1604,Mike Massenzio v Drew McFedries,middleweight,submission,1,88,3 Rnd (5-5-5),Jim Axtel,Kimura From North South,1,28,UFC Fight Night: Diaz vs Neer,2008-09-17,"Omaha, Nebraska, USA",Mike Massenzio,Mike Massenzio,Drew McFedries,male,2008-09
12117,1349,Jessica Andrade v Joanne Wood,strawweight,submission,1,278,3 Rnd (5-5-5),Jerry Poe,Guillotine Choke After Drop to Guard,4,38,UFC 203: Miocic vs. Overeem,2016-09-10,"Cleveland, Ohio, USA",Jessica Andrade,Jessica Andrade,Joanne Wood,female,2016-09
12121,1349,Drew Dober v Jason Gonzalez,lightweight,kotko,1,105,3 Rnd (5-5-5),Jerry Poe,Punch to Head In Clinch,1,45,UFC 203: Miocic vs. Overeem,2016-09-10,"Cleveland, Ohio, USA",Drew Dober,Drew Dober,Jason Gonzalez,male,2016-09
13250,1448,Neil Magny v Tim Means,welterweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerry Krysz,Decision,5,0,UFC Fight Night: Brown vs Silva,2014-05-10,"Cincinnati, Ohio, USA",Neil Magny,Neil Magny,Tim Means,male,2014-05
13253,1448,Ed Herman v Rafael Natal,middleweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerry Krysz,Decision,5,0,UFC Fight Night: Brown vs Silva,2014-05-10,"Cincinnati, Ohio, USA",Ed Herman,Ed Herman,Rafael Natal,male,2014-05
13257,1448,Manvel Gamburyan v Nik Lentz,featherweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerry Krysz,Decision,5,0,UFC Fight Night: Brown vs Silva,2014-05-10,"Cincinnati, Ohio, USA",Nik Lentz,Manvel Gamburyan,Nik Lentz,male,2014-05
15076,1614,Jon Fitch v Chris Wilson,welterweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerry Krysz,Decision,5,0,UFC 82: Pride of a Champion,2008-03-01,"Columbus, Ohio, USA",Jon Fitch,Jon Fitch,Chris Wilson,male,2008-03
15080,1614,Diego Sanchez v David Bielkheden,welterweight,kotko,1,283,3 Rnd (5-5-5),Jerry Krysz,Punches to Head From Mount       Submission to Strikes,4,43,UFC 82: Pride of a Champion,2008-03-01,"Columbus, Ohio, USA",Diego Sanchez,Diego Sanchez,David Bielkheden,male,2008-03
