FIGHT_ID,EVENT_ID,FIGHT_NAME,FIGHT_WEIGHTCLASS,FIGHT_METHOD,ROUND,TIME,FIGHT_TIME_FORMAT,FIGHT_REFEREE,FIGHT_DETAILS,MINUTE,SECOND,FIGHT_STUB,EVENT_NAME,EVENT_DATE,EVENT_LOCATION,EVENT_STUB,DATE_YMD,URL,FIGHT_WINNER
10755,1236,Jon Jones v Thiago Santos,UFC Light Heavyweight Title,Decision - Split,5,05:00,5 Rnd (5-5-5-5-5),Herb Dean,Decision - Split,5,0,jon-jones-v-thiago-santos,UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",ufc-239-jones-vs-santos,06/07/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-239-jones-vs-santos-1236/jon-jones-v-thiago-santos-10755/,Jon Jones
10758,1236,Jan Blachowicz v Luke Rockhold,Light Heavyweight,KO/TKO,2,01:39,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,1,39,jan-blachowicz-v-luke-rockhold,UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",ufc-239-jones-vs-santos,06/07/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-239-jones-vs-santos-1236/jan-blachowicz-v-luke-rockhold-10758/,Jan Blachowicz
10763,1236,Alejandro Perez v Song Yadong,Bantamweight,KO/TKO,1,02:04,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,2,4,alejandro-perez-v-song-yadong,UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",ufc-239-jones-vs-santos,06/07/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-239-jones-vs-santos-1236/alejandro-perez-v-song-yadong-10763/,Song Yadong
10767,1237,Francis Ngannou v Junior Dos Santos,Heavyweight,KO/TKO,1,01:11,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head In Clinch,1,11,francis-ngannou-v-junior-dos-santos,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",ufc-fight-night-ngannou-vs-dos-santos,29/06/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-ngannou-vs-dos-santos-1237/francis-ngannou-v-junior-dos-santos-10767/,Francis Ngannou
10772,1237,Alonzo Menifield v Paul Craig,Light Heavyweight,KO/TKO,1,03:19,3 Rnd (5-5-5),Herb Dean,Punch to Head On Ground,3,19,alonzo-menifield-v-paul-craig,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",ufc-fight-night-ngannou-vs-dos-santos,29/06/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-ngannou-vs-dos-santos-1237/alonzo-menifield-v-paul-craig-10772/,Alonzo Menifield
10775,1237,Jared Gordon v Dan Moret,Lightweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Herb Dean,Decision,5,0,jared-gordon-v-dan-moret,UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",ufc-fight-night-ngannou-vs-dos-santos,29/06/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-ngannou-vs-dos-santos-1237/jared-gordon-v-dan-moret-10775/,Jared Gordon
10829,1242,Jared Cannonier v Anderson Silva,Middleweight,KO/TKO,1,04:47,3 Rnd (5-5-5),Herb Dean,Kick to Leg At Distance,4,47,jared-cannonier-v-anderson-silva,UFC 237: Namajunas vs. Andrade,"May 11, 2019","Rio de Janeiro, Rio de Janeiro, Brazil",ufc-237-namajunas-vs-andrade,11/05/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-237-namajunas-vs-andrade-1242/jared-cannonier-v-anderson-silva-10829/,Jared Cannonier
10833,1242,Rogerio Nogueira v Ryan Spann,Light Heavyweight,KO/TKO,1,02:07,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,2,7,rogerio-nogueira-v-ryan-spann,UFC 237: Namajunas vs. Andrade,"May 11, 2019","Rio de Janeiro, Rio de Janeiro, Brazil",ufc-237-namajunas-vs-andrade,11/05/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-237-namajunas-vs-andrade-1242/rogerio-nogueira-v-ryan-spann-10833/,Ryan Spann
10836,1242,BJ Penn v Clay Guida,Lightweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Herb Dean,Decision,5,0,bj-penn-v-clay-guida,UFC 237: Namajunas vs. Andrade,"May 11, 2019","Rio de Janeiro, Rio de Janeiro, Brazil",ufc-237-namajunas-vs-andrade,11/05/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-237-namajunas-vs-andrade-1242/bj-penn-v-clay-guida-10836/,Clay Guida
10866,1245,Islam Makhachev v Arman Tsarukyan,Lightweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Herb Dean,Decision,5,0,islam-makhachev-v-arman-tsarukyan,UFC Fight Night: Overeem vs. Oleinik,"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",ufc-fight-night-overeem-vs-oleinik,20/04/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-overeem-vs-oleinik-1245/islam-makhachev-v-arman-tsarukyan-10866/,Islam Makhachev
